type,size,ocall,noenc,fullenc,baseline,
read,4,8067.000000,6706.000000,6635.000000,441.000000,
read,4,8089.000000,6544.000000,7438.000000,423.000000,
read,4,8077.000000,6308.000000,7191.000000,450.000000,
read,4,8067.000000,6843.000000,6461.000000,443.000000,
read,4,8056.000000,6369.000000,6652.000000,429.000000,
read,4,8081.000000,6460.000000,6595.000000,443.000000,
read,4,8074.000000,6346.000000,6595.000000,453.000000,
read,4,8064.000000,6487.000000,6696.000000,465.000000,
read,4,8080.000000,6633.000000,6648.000000,448.000000,
read,4,8098.000000,6635.000000,6511.000000,428.000000,
read,4,8099.000000,6632.000000,6539.000000,431.000000,
read,4,8097.000000,6762.000000,6594.000000,435.000000,
read,4,8082.000000,6777.000000,6689.000000,410.000000,
read,4,8110.000000,6760.000000,6474.000000,455.000000,
read,4,8117.000000,6657.000000,6498.000000,448.000000,
read,4,8078.000000,6912.000000,7313.000000,422.000000,
read,4,8089.000000,6312.000000,6574.000000,431.000000,
read,4,8110.000000,6786.000000,6588.000000,444.000000,
read,4,8088.000000,6760.000000,6982.000000,455.000000,
read,4,8080.000000,6493.000000,6506.000000,452.000000,
read,4,8081.000000,6361.000000,6562.000000,440.000000,
read,4,8110.000000,6368.000000,6528.000000,454.000000,
read,4,8103.000000,6564.000000,6819.000000,433.000000,
read,4,8050.000000,6468.000000,6608.000000,429.000000,
read,4,8070.000000,6461.000000,6559.000000,461.000000,
read,4,8122.000000,6583.000000,6494.000000,449.000000,
read,4,8094.000000,6480.000000,6643.000000,442.000000,
read,4,8067.000000,6453.000000,6524.000000,449.000000,
read,4,8091.000000,6294.000000,6521.000000,446.000000,
read,4,8107.000000,6604.000000,7184.000000,441.000000,
read,4,8075.000000,6650.000000,6508.000000,461.000000,
read,4,8094.000000,6852.000000,6510.000000,457.000000,
read,4,8077.000000,6667.000000,6672.000000,428.000000,
read,4,8094.000000,6875.000000,7016.000000,455.000000,
read,4,8089.000000,6842.000000,6566.000000,440.000000,
read,4,8074.000000,6501.000000,6571.000000,451.000000,
read,4,8113.000000,6773.000000,6523.000000,448.000000,
read,4,8100.000000,6466.000000,6639.000000,438.000000,
read,4,8072.000000,6706.000000,6491.000000,415.000000,
